exposure	metabolite	outcome	kettunen_b	kettunen_se	kettunen_p	interval_b	interval_se	interval_p	meta_p	observational_b	observational_se	observational_p	meta_direction
whr	xlhdll	Total lipids in very large HDL (mmol/l)	-0.241063276068807	0.0462546532871745	1.87163786017366e-07	-0.3108204786387	0.0426048972496117	2.97736151923532e-13	2.52624810202556e-18	-0.0779911824012184	0.00341691886136518	1.30287141689127e-107	- - - -
whr	xlhdlp	Concentration of very large HDL particles (mol/l)	-0.270536224440918	0.0481536129702051	1.92966436440935e-08	-0.316437969515533	0.0464885025470689	9.9793056400033e-12	8.49102354206841e-18	-6.83927827843461e-08	2.87517141168139e-09	4.65824713839177e-116	- - - -
whr	xlhdlpl	Phospholipids in very large HDL (mmol/l)	-0.318819662981324	0.0495291833525704	1.21852915223835e-10	-0.316437969515533	0.0464885025470689	9.9793056400033e-12	5.97773641526834e-20	-0.044102743146389	0.00177326870311099	7.25923131023306e-126	- - - -
whr	xlvldll	Total lipids in very large VLDL (mmol/l)	0.242190933425756	0.0527596792299168	4.42280803304419e-06	0.345825350716796	0.0441293900337439	4.62828490941934e-15	9.48484845247685e-19	0.0187759679293365	0.000856756704966428	7.29299979692453e-100	+ + + +
whr	xlvldlp	Concentration of very large VLDL particles (mol/l)	0.252350669247958	0.0514832447417117	9.50555093010048e-07	0.0793127581914875	0.039094066501486	0.0424820118754438	7.27872136757872e-07	1.84986736744265e-10	8.6675713165552e-12	4.15414583428167e-95	+ + + +
whr	xlvldlpl	Phospholipids in very large VLDL (mmol/l)	0.272425128690511	0.0515082337046526	1.23011946217198e-07	0.0793127581914875	0.039094066501486	0.0424820118754438	1.04879922356176e-07	0.00304107511517708	0.000142741129601832	8.45365282283141e-95	+ + + +
whr	xlvldltg	Triglycerides in very large VLDL (mmol/l)	0.264954998951879	0.0512466148217449	2.33849672518601e-07	0.14800845291797	0.0390165380144704	0.000148550658061171	8.71352336722299e-10	0.0120604838532119	0.000542806340009195	2.01254292011039e-102	+ + + +
whr	xsvldll	Total lipids in very small VLDL (mmol/l)	0.209354782054496	0.0513586082327265	4.57515152892987e-05	0.207651715267255	0.0464291713506908	7.73318516860513e-06	8.05340546072141e-09	0.0308971410026159	0.00197829686307319	3.30374743362206e-53	+ + + +
whr	xsvldltg	Triglycerides in very small VLDL (mmol/l)	0.288290993517527	0.0560775428286133	2.73374859923186e-07	0.296574428947652	0.0437205934688954	1.17377166417219e-11	1.32461165195548e-16	0.0117598640477508	0.000528533522036434	1.09399589972479e-102	+ + + +
whr	xxlvldll	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	0.237502503406038	0.0500761899346051	2.10760447570764e-06	0.313602395923787	0.0433321123497566	4.58102260865482e-13	4.10159568477457e-17	0.00667010298309981	0.000322840134494987	1.41987527118124e-89	+ + + +
whr	xxlvldlp	Concentration of chylomicrons and extremely large VLDL particles (mol/l)	0.205088878191821	0.0484694502601617	2.3234254548401e-05	0.182449854110334	0.036949544458626	7.90044951675703e-07	4.72138470520136e-10	3.02838237744202e-11	1.49498263664598e-12	2.31016485738619e-86	+ + + +
whr	xxlvldlpl	Phospholipids in chylomicrons and extremely large VLDL (mmol/l)	0.259023200756735	0.0483383535510924	8.3895245098503e-08	0.182449854110334	0.036949544458626	7.90044951675703e-07	2.07756998584731e-12	0.000814487321965136	3.99289021449693e-05	1.75389328893838e-87	+ + + +
bf	falen	Estimated description of fatty acid chain length, not actual carbon number	0.0832802666578457	0.135867611556308	0.539908358752318	0.195476477459431	0.312930193664728	0.532191078952714	0.645671611858949	0.0354218116659827	0.00576223822866933	8.77200601418324e-10	+ + + +
bf	phe	Phenylalanine (mmol/l)	0.250788513268398	0.13920982298001	0.0716218255039712	0.261711762448488	0.0877572959170061	0.00286164154630098	0.00194558887158829	0.00110533859679322	0.000103803245917845	4.43058123401811e-26	+ + + +
bf	pyr	Pyruvate (mmol/l)	0.0255206202780384	0.134655761257068	0.849681437912326	0.0734816161141834	0.139808187634176	0.59917394739671	0.852803630506129	0.00599857745745701	0.000506900122170571	1.04212338410437e-31	+ + + +
bf	tyr	Tyrosine (mmol/l)	0.183260543711838	0.145712515422884	0.208505453948933	0.206835826828503	0.0843955914775378	0.0142543297905488	0.0202652557657464	0.00261453366429245	0.000188239914710406	9.82078431720506e-43	+ + + +
bf	val	Valine (mmol/l)	0.00507678467994834	0.220075034863236	0.981595691296732	0.109808348338156	0.165073067337147	0.505915824192855	0.844208658639545	0.00760059132525468	0.000485929206857273	2.34717473153499e-53	+ + + +
bf	alb	Albumin  (signal area)	-0.0414388520888249	0.214190644150037	0.846593135606731	-0.140127142457451	0.0623324720156836	0.0245723587060701	0.101365093409245	-0.000303212104608097	7.33381979604564e-05	3.64180160165008e-05	- - - -
bf	his	Histidine (mmol/l)	-0.159854508004206	0.167248798949652	0.339179010913533	-0.0885949287642728	0.0488687627124629	0.0698448824216321	0.112354310170175	-0.000662100829110585	0.000194304654456728	0.000662916643002564	- - - -
bf	xlhdlce	Cholesterol esters in very large HDL (mmol/l)	-0.0454772360020322	0.194704487882406	0.815318386371805	-0.389445493894636	0.372539824098982	0.295847608946291	0.584231684134666	-0.0211136900215461	0.00122674383490592	8.65028340622551e-64	- - - -
bf	xlhdltg	Triglycerides in very large HDL (mmol/l)	-0.145247439249945	0.169462299180328	0.391385373394331	-0.421367440786362	0.264153959377624	0.110676790306341	0.179299033639076	-0.000822219194489044	0.000118159212524386	4.08604627182731e-12	- - - -
