exposure	metabolite	fe_effect	fe_lower	fe_upper	fe_p	b	lower_ci	upper_ci	pval	q	q_df	q_p	tau2	tau2_se	tau	h	i1	raw.label	class	subclass	label	label.no.units	derived_features
WHR_Pulit_316	vldld	0.324840919365488	0.255586625803565	0.394095212927411	3.80919245171045e-20	0.318800070609926	0.205351156165805	0.432248985054048	3.63660189231535e-08	2.61387101092577	1	0.10593289413598	0.004158693368364	0.00947653346714734	0.0644879319591193	1.61674704605444	0.617425651143427	Mean diameter for VLDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	VLDL particle size (nm)	VLDL particles size	no
WHR_Pulit_316	xlhdlc	0.064503354168311	0.00355917696185016	0.125447531374772	0.0380396652826537	0.0687313376225046	-0.427411776563551	0.56487445180856	0.785993959062107	66.2543982509797	1	3.96322422921764e-16	0.126224310088011	0.181243628447402	0.355280607531584	8.13968047597568	0.98490666240433	Total cholesterol in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Total cholesterol (mmol/l)	Total cholesterol	no
WHR_Pulit_316	xlhdlce	0.0777920351717621	0.0169990154893968	0.138585054854127	0.0121412745396039	0.0829194989541319	-0.385317523657517	0.551156521565781	0.728525561587457	59.3067082786837	1	1.34915833740534e-14	0.112222151020097	0.161428536898071	0.334995747764202	7.70108487673546	0.98313850103936	Cholesterol esters in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no
WHR_Pulit_316	xlhdlfc	-0.146599655494232	-0.199122604433649	-0.0940767065548155	4.48610909814239e-08	-0.169772281916121	-0.334544199070238	-0.0050003647620043	0.0434411560932692	8.9056402402686	1	0.00284291185568899	0.0125630398420634	0.0199901107916942	0.112084967065452	2.98423193473104	0.887711610505183	Free cholesterol in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Free cholesterol (mmol/l)	Free cholesterol	no
WHR_Pulit_316	xlhdll	-0.278802211262793	-0.340223070377467	-0.217381352148119	5.75373453966298e-19	-0.278239815908525	-0.346847972972029	-0.209631658845021	1.88603948660384e-15	1.23041573901744	1	0.267326201969781	0.000483948949269153	0.00346577463232292	0.0219988397255208	1.10924106442984	0.187266573167731	Total lipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Total lipids (mmol/l)	Total lipids	no
WHR_Pulit_316	xlhdlp	-0.294294431244221	-0.359847625606579	-0.228741236881864	1.37966989612988e-18	-0.294294431244221	-0.359847625606579	-0.228741236881864	1.37966989612988e-18	0.470293675785541	1	0.492852094979884	0	0.00316400040404791	0	1	0	Concentration of very large HDL particles (mol/l)	Lipoprotein subclasses	Very large HDL	Particle concentration (mol/l)	Particle concentration	no
WHR_Pulit_316	xlhdlpl	-0.317553468523149	-0.383990298228303	-0.251116638817995	7.37815259085879e-21	-0.317553468523149	-0.383990298228303	-0.251116638817995	7.37815259085879e-21	0.00122927196823971	1	0.972031119701633	0	0.00324987466204863	0	1	0	Phospholipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Phospholipids (mmol/l)	Phospholipids	no
WHR_Pulit_316	xlhdltg	0.109277043703041	0.0470493401711897	0.171504747234893	0.000577728263344653	0.108011700597126	-0.198233916751914	0.414257317946166	0.489394577822227	24.2114715658992	1	8.63166183745028e-07	0.0468123336890934	0.0690539579519659	0.216361580898951	4.9205153760454	0.958697264754099	Triglycerides in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Triglycerides (mmol/l)	Triglycerides	no
WHR_Pulit_316	xlvldll	0.303166601148375	0.236821284160152	0.369511918136597	3.36349956018234e-19	0.29803319959197	0.196662394437223	0.399404004746717	8.29494055105062e-09	2.2700756020731	1	0.131893468090713	0.00301696901402946	0.00756614401381523	0.0549269425148484	1.5066770065522	0.559486036902572	Total lipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Total lipids (mmol/l)	Total lipids	no
WHR_Pulit_316	xlvldlp	0.142598233012681	0.0815738535933299	0.203622612432032	4.65131032755968e-06	0.162588406603289	-0.00685055227778059	0.332027365484359	0.0600098709844429	7.1648590471034	1	0.00743455323239829	0.0128787398615254	0.0211385580996496	0.113484535781424	2.67672543364152	0.860429913076339	Concentration of very large VLDL particles (mol/l)	Lipoprotein subclasses	Very large VLDL	Particle concentration (mol/l)	Particle concentration	no
WHR_Pulit_316	xlvldlpl	0.149896631496975	0.0888614240851887	0.210931838908762	1.48321422805066e-06	0.172958404721083	-0.0162587230610657	0.362175532503232	0.0732048253546369	8.91821475522479	1	0.00282340371313887	0.0165665312497537	0.0263614747874628	0.12871103779301	2.98633801757684	0.887869935021004	Phospholipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Phospholipids (mmol/l)	Phospholipids	no
WHR_Pulit_316	xlvldltg	0.190921876538087	0.130076982923768	0.251766770152406	7.74515904538263e-10	0.201776182466128	0.0873675188687929	0.316184846063462	0.000546875410088044	3.29660672462191	1	0.0694231569276175	0.00478486767268374	0.00963754983505222	0.0691727379296478	1.81565600393409	0.696657780701854	Triglycerides in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Triglycerides (mmol/l)	Triglycerides	no
WHR_Pulit_316	xsvldll	0.208417615453753	0.140912052167103	0.275923178740403	1.43752899217866e-09	0.208417615453753	0.140912052167103	0.275923178740403	1.43752899217866e-09	0.000605070568734489	1	0.980375469237122	0	0.0033552736209477	0	1	0	Total lipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Total lipids (mmol/l)	Total lipids	no
WHR_Pulit_316	xsvldlp	-0.0648046045745724	-0.128612235948034	-0.00099697320111139	0.0465262252926621	-0.0172973292045714	-0.470604537759646	0.436009879350503	0.940383033807588	48.2529318990631	1	3.74637636655355e-12	0.104768808524689	0.151298304816121	0.323680102145142	6.94643303423153	0.979275870695446	Concentration of very small VLDL particles (mol/l)	Lipoprotein subclasses	Very Small VLDL	Particle concentration (mol/l)	Particle concentration	no
WHR_Pulit_316	xsvldlpl	-0.0956244949290238	-0.159082976650913	-0.0321660132071346	0.00314257737028676	-0.0595850448691435	-0.4302685722734	0.311098482535113	0.752722263973753	32.8039870437079	1	1.01935553532837e-08	0.0693603256848355	0.101170846936132	0.263363485860959	5.72747649874776	0.969515900653552	Phospholipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Phospholipids  (mmol/l)	Phospholipids	no
WHR_Pulit_316	xsvldltg	0.293442874500296	0.225862625907974	0.361023123092619	1.73278649977868e-17	0.293442874500296	0.225862625907974	0.361023123092619	1.73278649977868e-17	0.0135700797709414	1	0.907263667862053	0	0.00336270199409753	0	1	0	Triglycerides in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Triglycerides (mmol/l)	Triglycerides	no
WHR_Pulit_316	xxlvldll	0.281018367466173	0.216794313482231	0.345242421450115	9.82243341463942e-18	0.279734278006354	0.20598883880991	0.353479717202798	1.04871217214352e-13	1.32054479599854	1	0.250494300250373	0.000673308399874154	0.00400423119176435	0.0259481868321113	1.14914959687525	0.242736783310831	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Total lipids (mmol/l)	Total lipids	no
WHR_Pulit_316	xxlvldlp	0.190770727547913	0.133176391933064	0.248365063162761	8.4691287356449e-11	0.190770727547913	0.133176391933064	0.248365063162761	8.4691287356449e-11	0.137972483035749	1	0.710305016225959	0	0.00244235256766944	0	1	0	Concentration of chylomicrons and extremely large VLDL particles (mol/l)	Lipoprotein subclasses	Extremely large VLDL	Particle concentration (mol/l)	Particle concentration	no
WHR_Pulit_316	xxlvldlpl	0.210690537248865	0.153153604000051	0.268227470497679	7.12278581910298e-13	0.214366458940763	0.140531008217924	0.288201909663602	1.2676936449694e-08	1.58386692158797	1	0.208204572779203	0.00106814133394063	0.00401401205221737	0.0326824315793766	1.25851774782399	0.368633824994963	Phospholipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Phospholipids (mmol/l)	Phospholipids	no
WHR_Pulit_316	xxlvldltg	-0.00389601847613414	-0.0571514163233492	0.0493593793710809	0.885985673936556	0.0648612147743043	-0.275825108782291	0.4055475383309	0.709039989190424	34.1523567889328	1	5.09614832877855e-09	0.0586668951133045	0.085459079541851	0.242212499911347	5.84400177865586	0.970719443867954	Triglycerides in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Triglycerides (mmol/l)	Triglycerides	no
