exposure	metabolite	fe_effect	fe_lower	fe_upper	fe_p	b	lower_ci	upper_ci	pval	q	q_df	q_p	tau2	tau2_se	tau	h	i1	raw.label	class	subclass	label	label.no.units	derived_features
BF_Lu_7	faw3	0.134146763885038	0.0297169050290186	0.238576622741057	0.0118124622696437	0.101607175210791	-0.0936325471546555	0.296846897576238	0.307723876571819	1.44423422180458	1	0.229455378458502	0.00940669967742697	0.0280663007246842	0.0969881419423373	1.20176296406761	0.307591535429416	Omega-3 fatty acids (mmol/l)	Fatty acids	Fatty acids	n-3 fatty acids (mmol/l)	n-3 fatty acids	no
BF_Lu_7	faw6	-0.0290356484738202	-0.453877729067555	0.395806432119914	0.893439825471143	-0.0553579536539606	-0.584148815582405	0.473432908274484	0.837428116705959	1.47198580821328	1	0.225032639097247	0.0486741184688533	0.205881201648943	0.220622116907742	1.21325422241725	0.320645624149177	Omega-6 fatty acids (mmol/l)	Fatty acids	Fatty acids	n-6 fatty acids (mmol/l)	n-6 fatty acids	no
BF_Lu_7	freec	-0.357777191666714	-0.876657094732796	0.161102711399368	0.176557394307581	-0.357777191666714	-0.876657094732796	0.161102711399368	0.176557394307581	0.0295836360435492	1	0.863438360778073	0	0.198235993568369	0	1	0	Free cholesterol (mmol/l)	Cholesterol	Cholesterol	Free cholesterol (mmol/l)	Free C	no
BF_Lu_7	glc	0.0885707324930093	-0.0402542392887171	0.217395704274736	0.177809769141571	0.087551129876957	-0.148685919388753	0.323788179142667	0.467607940732763	3.36243782210114	1	0.066699262248544	0.020414317301617	0.0410908221033053	0.142878680360707	1.83369512790462	0.702596731030371	Glucose (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Glucose (mmol/l)	Glucose	no
BF_Lu_7	gln	0.0238699968716456	-0.152028984878304	0.199768978621595	0.790260203224574	0.0238699968716456	-0.152028984878304	0.199768978621595	0.790260203224574	0.0491029616792945	1	0.824631603484271	0	0.0227811404867624	0	1	0	Glutamine (mmol/l)	Amino acids	Amino acids	Glutamine (mmol/l)	Glutamine	no
BF_Lu_7	hdlc	0.261853287257269	-0.0972496060798921	0.620956180594429	0.152952233161954	0.261853287257269	-0.0972496060798921	0.620956180594429	0.152952233161954	0.0297315591899388	1	0.863100732746826	0	0.0949481746704567	0	1	0	Total cholesterol in HDL (mmol/l)	Cholesterol	Cholesterol	HDL cholesterol (mmol/l)	HDL C	no
BF_Lu_7	hdld	0.390220889998451	0.000312466181964732	0.780129313814937	0.0498166850518427	0.390220889998451	0.000312466181964732	0.780129313814937	0.0498166850518427	0.000417602525487098	1	0.98369610410922	0	0.11193709904146	0	1	0	Mean diameter for HDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	HDL particle size (nm)	HDL particles size	no
BF_Lu_7	his	-0.094200238850063	-0.18613870915744	-0.00226176854268549	0.0446240771746454	-0.094200238850063	-0.18613870915744	-0.00226176854268549	0.0446240771746454	0.167249276939875	1	0.682568122876012	0	0.0062236241682242	0	1	0	Histidine (mmol/l)	Amino acids	Amino acids	Histidine (mmol/l)	Histidine	no
BF_Lu_7	idlc	-0.141760411840747	-0.512091502147277	0.228570678465783	0.453096993891619	-0.172915623087451	-0.625565632098852	0.279734385923951	0.454025615119925	1.22354511496289	1	0.268666042178085	0.0265879717251073	0.150859921766065	0.163058185090805	1.10613973573093	0.182702797166304	Total cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total cholesterol (mmol/l)	Total cholesterol	no
BF_Lu_7	idlfc	-0.166639905967946	-0.636403766761039	0.303123954825147	0.486892120578147	-0.166639905967946	-0.636403766761039	0.303123954825147	0.486892120578147	0.312796700986494	1	0.5759690671344	0	0.162483033223268	0	1	0	Free cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Free cholesterol (mmol/l)	Free cholesterol	no
