id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
Locke BMI EU sex combined 77 SNPs clumped	55ZFN6	S-VLDL-TG_percent.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted mode	63	-0.0141513315942039	0.0691780320323108	0.838582882665677
Locke BMI EU sex combined 77 SNPs clumped	5A904q	CLA.txt	Locke BMI EU sex combined 77 SNPs clumped	MR Egger	63	-0.0855767812593588	0.0933011899503861	0.362644859191762
Locke BMI EU sex combined 77 SNPs clumped	5A904q	CLA.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted median	63	-0.0786864049765376	0.0639615479908141	0.218616901515361
Locke BMI EU sex combined 77 SNPs clumped	5A904q	CLA.txt	Locke BMI EU sex combined 77 SNPs clumped	Inverse variance weighted (multiplicative random effects)	63	-0.0260152088392377	0.0381363193981336	0.495135509954186
Locke BMI EU sex combined 77 SNPs clumped	5A904q	CLA.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted mode	63	-0.054990266843211	0.0782181986726359	0.484664461700819
Locke BMI EU sex combined 77 SNPs clumped	5jKcen	IDL-CE.txt	Locke BMI EU sex combined 77 SNPs clumped	MR Egger	63	0.065659186960026	0.120021821618082	0.58633310293945
Locke BMI EU sex combined 77 SNPs clumped	5jKcen	IDL-CE.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted median	63	0.0741456445230436	0.0617059223531858	0.229519746201756
Locke BMI EU sex combined 77 SNPs clumped	5jKcen	IDL-CE.txt	Locke BMI EU sex combined 77 SNPs clumped	Inverse variance weighted (multiplicative random effects)	63	0.0264191818199064	0.0489109092359	0.589094236995799
Locke BMI EU sex combined 77 SNPs clumped	5jKcen	IDL-CE.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted mode	63	0.0821790733296832	0.0745715946147115	0.274714451229888
Locke BMI EU sex combined 77 SNPs clumped	5Mom1u	Serum-C.txt	Locke BMI EU sex combined 77 SNPs clumped	MR Egger	63	0.0381136054070833	0.198551796693672	0.848412690686154
Locke BMI EU sex combined 77 SNPs clumped	5Mom1u	Serum-C.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted median	63	0.0579292934957711	0.0585608637143754	0.322557888322668
Locke BMI EU sex combined 77 SNPs clumped	5Mom1u	Serum-C.txt	Locke BMI EU sex combined 77 SNPs clumped	Inverse variance weighted (multiplicative random effects)	63	-0.0955907881317339	0.081184802576296	0.23901720920902
Locke BMI EU sex combined 77 SNPs clumped	5Mom1u	Serum-C.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted mode	63	0.0829148022550017	0.0627806287169263	0.191453494626215
Locke BMI EU sex combined 77 SNPs clumped	5NdEsT	XXL-VLDL-PL.txt	Locke BMI EU sex combined 77 SNPs clumped	MR Egger	63	-0.00521907392434048	0.101610750725122	0.959203774695933
Locke BMI EU sex combined 77 SNPs clumped	5NdEsT	XXL-VLDL-PL.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted median	63	-0.0110157176003353	0.0670345662360233	0.86947221947324
Locke BMI EU sex combined 77 SNPs clumped	5NdEsT	XXL-VLDL-PL.txt	Locke BMI EU sex combined 77 SNPs clumped	Inverse variance weighted (multiplicative random effects)	63	-0.0484511142473339	0.0414211996564658	0.242114555315016
Locke BMI EU sex combined 77 SNPs clumped	5NdEsT	XXL-VLDL-PL.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted mode	63	-0.0129991421119862	0.0734424616499162	0.860087194121424
Locke BMI EU sex combined 77 SNPs clumped	5wRfRz	HDL-TG.txt	Locke BMI EU sex combined 77 SNPs clumped	MR Egger	63	0.0228553386850588	0.0889556633499344	0.798097804734394
Locke BMI EU sex combined 77 SNPs clumped	5wRfRz	HDL-TG.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted median	63	0.0528906267625685	0.060848153305999	0.384725058107403
Locke BMI EU sex combined 77 SNPs clumped	5wRfRz	HDL-TG.txt	Locke BMI EU sex combined 77 SNPs clumped	Inverse variance weighted (multiplicative random effects)	63	0.0132195456048204	0.0362149026366057	0.715088606398647
Locke BMI EU sex combined 77 SNPs clumped	5wRfRz	HDL-TG.txt	Locke BMI EU sex combined 77 SNPs clumped	Weighted mode	63	0.0596504945462439	0.0716531307520267	0.408327866428514
