id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
Yengo BMI EU sex combined 656 SNPs	2apbj8	L-HDL-L.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0755979224941663	635	1
Yengo BMI EU sex combined 656 SNPs	2kCWf5	XS-VLDL-PL.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	926.150711424205	635	3.14559030452877e-13
Yengo BMI EU sex combined 656 SNPs	2kCWf5	XS-VLDL-PL.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	922.496032147495	634	4.65963369267652e-13
Yengo BMI EU sex combined 656 SNPs	2kCWf5	XS-VLDL-PL.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	926.270314919235	635	3.08577353162677e-13
Yengo BMI EU sex combined 656 SNPs	2kCWf5	XS-VLDL-PL.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	926.089796266371	635	3.1764935243768e-13
Yengo BMI EU sex combined 656 SNPs	2kCWf5	XS-VLDL-PL.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0677207028936405	635	1
Yengo BMI EU sex combined 656 SNPs	3Edwkg	XS-VLDL-PL_percent.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	926.150711424205	635	3.14559030452877e-13
Yengo BMI EU sex combined 656 SNPs	3Edwkg	XS-VLDL-PL_percent.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	922.496032147495	634	4.65963369267652e-13
Yengo BMI EU sex combined 656 SNPs	3Edwkg	XS-VLDL-PL_percent.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	926.270314919235	635	3.08577353162677e-13
Yengo BMI EU sex combined 656 SNPs	3Edwkg	XS-VLDL-PL_percent.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	926.089796266371	635	3.1764935243768e-13
Yengo BMI EU sex combined 656 SNPs	3Edwkg	XS-VLDL-PL_percent.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0677207028936405	635	1
Yengo BMI EU sex combined 656 SNPs	3h6wOB	M-LDL-TG_percent.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	815.798558667546	635	1.45504880906188e-06
Yengo BMI EU sex combined 656 SNPs	3h6wOB	M-LDL-TG_percent.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	815.898023262644	634	1.26103026617434e-06
Yengo BMI EU sex combined 656 SNPs	3h6wOB	M-LDL-TG_percent.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	815.917250857933	635	1.43515867291537e-06
Yengo BMI EU sex combined 656 SNPs	3h6wOB	M-LDL-TG_percent.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	815.752064497717	635	1.46291257420086e-06
Yengo BMI EU sex combined 656 SNPs	3h6wOB	M-LDL-TG_percent.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0618699785736003	635	1
Yengo BMI EU sex combined 656 SNPs	3Im7Fe	PUFA.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	870.528821855522	635	1.33022486424294e-09
Yengo BMI EU sex combined 656 SNPs	3Im7Fe	PUFA.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	868.236992454912	634	1.55573496395501e-09
Yengo BMI EU sex combined 656 SNPs	3Im7Fe	PUFA.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	871.042436040061	635	1.23829704335271e-09
Yengo BMI EU sex combined 656 SNPs	3Im7Fe	PUFA.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	870.302779632327	635	1.3727696599678e-09
Yengo BMI EU sex combined 656 SNPs	3Im7Fe	PUFA.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0607668854603914	635	1
Yengo BMI EU sex combined 656 SNPs	3JBQ7Q	L-LDL-CE.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	1220.8858792717	635	1.98158962514926e-39
Yengo BMI EU sex combined 656 SNPs	3JBQ7Q	L-LDL-CE.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	1220.60065868312	634	1.52685110259684e-39
Yengo BMI EU sex combined 656 SNPs	3JBQ7Q	L-LDL-CE.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	1220.95139494759	635	1.95046584770522e-39
Yengo BMI EU sex combined 656 SNPs	3JBQ7Q	L-LDL-CE.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	1220.85132713302	635	1.99820271572597e-39
Yengo BMI EU sex combined 656 SNPs	3JBQ7Q	L-LDL-CE.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0989187591378932	635	1
Yengo BMI EU sex combined 656 SNPs	3JJ7my	XXL-VLDL-FC.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	782.309955963922	635	5.44936280928186e-05
Yengo BMI EU sex combined 656 SNPs	3JJ7my	XXL-VLDL-FC.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	782.294459945708	634	4.88195081493268e-05
Yengo BMI EU sex combined 656 SNPs	3JJ7my	XXL-VLDL-FC.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	782.322292364103	635	5.44262682881897e-05
Yengo BMI EU sex combined 656 SNPs	3JJ7my	XXL-VLDL-FC.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	782.293448884879	635	5.45838849722741e-05
Yengo BMI EU sex combined 656 SNPs	3JJ7my	XXL-VLDL-FC.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0637175525841317	635	1
Yengo BMI EU sex combined 656 SNPs	3m457a	IDL-L.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	1195.7510850846	635	8.04293034121619e-37
Yengo BMI EU sex combined 656 SNPs	3m457a	IDL-L.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	1195.16288010491	634	6.71649820876379e-37
Yengo BMI EU sex combined 656 SNPs	3m457a	IDL-L.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	1195.82824401894	635	7.89764671877519e-37
Yengo BMI EU sex combined 656 SNPs	3m457a	IDL-L.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	1195.71313456474	635	8.11536151552676e-37
Yengo BMI EU sex combined 656 SNPs	3m457a	IDL-L.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0965405179498579	635	1
Yengo BMI EU sex combined 656 SNPs	43t5mu	XL-VLDL-PL.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	820.526305012814	635	8.36842102192614e-07
Yengo BMI EU sex combined 656 SNPs	43t5mu	XL-VLDL-PL.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	818.161878400479	634	9.67416883022684e-07
Yengo BMI EU sex combined 656 SNPs	43t5mu	XL-VLDL-PL.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	820.582473204954	635	8.31310369437185e-07
Yengo BMI EU sex combined 656 SNPs	43t5mu	XL-VLDL-PL.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	820.485262087325	635	8.4090673143992e-07
Yengo BMI EU sex combined 656 SNPs	43t5mu	XL-VLDL-PL.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0742696134398034	635	1
Yengo BMI EU sex combined 656 SNPs	4qgBjf	L-LDL-CE_percent.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	1220.8858792717	635	1.98158962514926e-39
Yengo BMI EU sex combined 656 SNPs	4qgBjf	L-LDL-CE_percent.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	1220.60065868312	634	1.52685110259684e-39
Yengo BMI EU sex combined 656 SNPs	4qgBjf	L-LDL-CE_percent.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	1220.95139494759	635	1.95046584770522e-39
Yengo BMI EU sex combined 656 SNPs	4qgBjf	L-LDL-CE_percent.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	1220.85132713302	635	1.99820271572597e-39
Yengo BMI EU sex combined 656 SNPs	4qgBjf	L-LDL-CE_percent.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0989187591378932	635	1
Yengo BMI EU sex combined 656 SNPs	4Qk0Ii	Phe.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	668.603815049581	635	0.172218392251881
Yengo BMI EU sex combined 656 SNPs	4Qk0Ii	Phe.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	665.328928419342	634	0.188250015274366
Yengo BMI EU sex combined 656 SNPs	4Qk0Ii	Phe.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	670.122538801208	635	0.161924340453682
Yengo BMI EU sex combined 656 SNPs	4Qk0Ii	Phe.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	667.980520427742	635	0.176566072625364
Yengo BMI EU sex combined 656 SNPs	4Qk0Ii	Phe.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0517786717239921	635	1
Yengo BMI EU sex combined 656 SNPs	4sNpyo	MUFA.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	911.473575145788	635	3.19002483535509e-12
Yengo BMI EU sex combined 656 SNPs	4sNpyo	MUFA.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	909.77725438484	634	3.44950336205242e-12
Yengo BMI EU sex combined 656 SNPs	4sNpyo	MUFA.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	912.247388903031	635	2.82882883019361e-12
Yengo BMI EU sex combined 656 SNPs	4sNpyo	MUFA.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	911.113147973278	635	3.37340942278287e-12
Yengo BMI EU sex combined 656 SNPs	4sNpyo	MUFA.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0668365298814786	635	1
Yengo BMI EU sex combined 656 SNPs	5IdkHu	XL-VLDL-FC_percent.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	769.755404166689	635	0.000184621761930916
Yengo BMI EU sex combined 656 SNPs	5IdkHu	XL-VLDL-FC_percent.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	769.662286028839	634	0.000167879695105845
Yengo BMI EU sex combined 656 SNPs	5IdkHu	XL-VLDL-FC_percent.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	769.755404166689	635	0.000184621761930916
Yengo BMI EU sex combined 656 SNPs	5IdkHu	XL-VLDL-FC_percent.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	769.752693005993	635	0.000184668870271056
Yengo BMI EU sex combined 656 SNPs	5IdkHu	XL-VLDL-FC_percent.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0648139459875928	635	1
Yengo BMI EU sex combined 656 SNPs	5Ml0RJ	XL-HDL-CE_percent.txt	Yengo BMI EU sex combined 656 SNPs	Maximum likelihood	930.156271072743	635	1.64909169066234e-13
Yengo BMI EU sex combined 656 SNPs	5Ml0RJ	XL-HDL-CE_percent.txt	Yengo BMI EU sex combined 656 SNPs	MR Egger	928.698086785561	634	1.71849786567091e-13
Yengo BMI EU sex combined 656 SNPs	5Ml0RJ	XL-HDL-CE_percent.txt	Yengo BMI EU sex combined 656 SNPs	Inverse variance weighted	931.054845854609	635	1.42556628837704e-13
Yengo BMI EU sex combined 656 SNPs	5Ml0RJ	XL-HDL-CE_percent.txt	Yengo BMI EU sex combined 656 SNPs	IVW radial	929.712378340996	635	1.77193427680051e-13
Yengo BMI EU sex combined 656 SNPs	5Ml0RJ	XL-HDL-CE_percent.txt	Yengo BMI EU sex combined 656 SNPs	Unweighted regression	0.0688421246431935	635	1
