metabolite	n	b	se	p	lower_ci	upper_ci	raw.label	class	subclass	label	label.no.units	derived_features	exposure	group	model	model_description
mldlce	588	0.00731883196266153	0.00408879580101872	0.0739807648452187	-0.000695207807335162	0.0153328717326582	Cholesterol esters in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	adolescents	model3	physical activity
mldlfc	588	0.00165034015748511	0.000955625242878301	0.0847056317407951	-0.00022268531855636	0.00352336563352658	Free cholesterol in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	adolescents	model3	physical activity
mldltg	588	-0.000762904871490357	0.000582843267888445	0.191075092766296	-0.00190527767655171	0.000379467933570995	Triglycerides in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	adolescents	model3	physical activity
sldlp	588	1.66923860668614e-09	1.13266146750054e-09	0.141097413387788	-5.50777869614918e-10	3.8892550829872e-09	Concentration of small LDL particles (mol/l)	Lipoprotein subclasses	Small LDL	Particle concentration (mol/l)	Particle concentration	no	bmi	adolescents	model3	physical activity
sldll	588	0.00740587406865401	0.00424925471125449	0.0818882092659846	-0.000922665165404791	0.0157344133027128	Total lipids in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Total lipids (mmol/l)	Total lipids	no	bmi	adolescents	model3	physical activity
sldlpl	588	0.00164907940796815	0.000897534361284318	0.0666714070413304	-0.000110087940149113	0.00340824675608541	Phospholipids in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	adolescents	model3	physical activity
sldlc	588	0.00553833154051717	0.00312187439593341	0.0765819304103426	-0.000580542275512313	0.0116572053565467	Total cholesterol in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	adolescents	model3	physical activity
sldlce	588	0.00434848058797664	0.00257610579183184	0.0919486955634807	-0.000700686764013767	0.00939764793996705	Cholesterol esters in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	adolescents	model3	physical activity
sldlfc	588	0.0011867297548443	0.000585071182945134	0.0429816666889299	3.99902362718373e-05	0.00233346927341676	Free cholesterol in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	adolescents	model3	physical activity
sldltg	588	0.000215439678073575	0.000351043520919272	0.539646580086054	-0.000472605622928198	0.000903484979075348	Triglycerides in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	adolescents	model3	physical activity
xlhdlp	588	-3.08757524870658e-08	5.20608389509702e-09	5.18966559075182e-09	-4.1079676921456e-08	-2.06718280526756e-08	Concentration of very large HDL particles (mol/l)	Lipoprotein subclasses	Very large HDL	Particle concentration (mol/l)	Particle concentration	no	bmi	adolescents	model3	physical activity
xlhdll	588	-0.0364116472661402	0.00635007994760906	1.58016912940798e-08	-0.048857803963454	-0.0239654905688264	Total lipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Total lipids (mmol/l)	Total lipids	no	bmi	adolescents	model3	physical activity
xlhdlpl	588	-0.0209052880545367	0.00332311374996655	6.22891851793128e-10	-0.0274185910044711	-0.0143919851046023	Phospholipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	adolescents	model3	physical activity
xlhdlc	588	-0.0149709109222626	0.00312209034092253	2.069630421917e-06	-0.0210902079904708	-0.00885161385405444	Total cholesterol in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	adolescents	model3	physical activity
xlhdlce	588	-0.0102143923622535	0.00232411957847842	1.31816084656095e-05	-0.0147696667360712	-0.0056591179884358	Cholesterol esters in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	adolescents	model3	physical activity
xlhdlfc	588	-0.0047576688689737	0.000845595413894889	2.86785129169612e-08	-0.00641503588020768	-0.00310030185773972	Free cholesterol in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	adolescents	model3	physical activity
xlhdltg	588	-0.000559440931930771	0.000208722587848519	0.00756487358686869	-0.000968537204113868	-0.000150344659747674	Triglycerides in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	adolescents	model3	physical activity
lhdlp	588	-6.73099787763651e-08	1.03639274686366e-08	1.79335881638358e-10	-8.76232766148928e-08	-4.69966809378374e-08	Concentration of large HDL particles (mol/l)	Lipoprotein subclasses	Large HDL	Particle concentration (mol/l)	Particle concentration	no	bmi	adolescents	model3	physical activity
lhdll	588	-0.0511706874749393	0.00787864994422478	1.79097651212752e-10	-0.0666128413656199	-0.0357285335842587	Total lipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Total lipids (mmol/l)	Total lipids	no	bmi	adolescents	model3	physical activity
lhdlpl	588	-0.0214674615511633	0.00348374523071976	1.34456253824427e-09	-0.028295602203374	-0.0146393208989526	Phospholipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Phospholipids (mmol/l)	Phospholipids	no	bmi	adolescents	model3	physical activity
lhdlc	588	-0.0293620817103145	0.00437279137936558	4.50571413087722e-11	-0.037932752813871	-0.020791410606758	Total cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Total cholesterol (mmol/l)	Total cholesterol	no	bmi	adolescents	model3	physical activity
lhdlce	588	-0.0233362294251231	0.00344050948701232	2.9170465932552e-11	-0.0300796280196672	-0.016592830830579	Cholesterol esters in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Cholesterol esters (mmol/l)	Cholesterol esters	no	bmi	adolescents	model3	physical activity
lhdlfc	588	-0.00603981245244429	0.000936743129859997	2.39644525914799e-10	-0.00787582898696988	-0.0042037959179187	Free cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Free cholesterol (mmol/l)	Free cholesterol	no	bmi	adolescents	model3	physical activity
lhdltg	588	-0.00034741976120721	0.000163917672410914	0.0344750809945172	-0.000668698399132601	-2.61411232818186e-05	Triglycerides in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Triglycerides (mmol/l)	Triglycerides	no	bmi	adolescents	model3	physical activity
